Date,HomeTeam,AwayTeam,Matchweek
05/09/2026,Atalanta,Napoli,1
05/09/2026,Bologna,Sassuolo,1
05/09/2026,Cagliari,Parma,1
05/09/2026,Como,Lazio,1
05/09/2026,Fiorentina,Udinese,1
05/09/2026,Frosinone,Juventus,1
05/09/2026,Genoa,Inter,1
05/09/2026,Milan,Venezia,1
05/09/2026,Monza,Lecce,1
05/09/2026,Roma,Torino,1
12/09/2026,Genoa,Frosinone,2
12/09/2026,Inter,Como,2
12/09/2026,Juventus,Cagliari,2
12/09/2026,Lazio,Bologna,2
12/09/2026,Lecce,Milan,2
12/09/2026,Napoli,Fiorentina,2
12/09/2026,Parma,Atalanta,2
12/09/2026,Sassuolo,Roma,2
12/09/2026,Torino,Monza,2
12/09/2026,Udinese,Venezia,2
19/09/2026,Atalanta,Juventus,3
19/09/2026,Bologna,Inter,3
19/09/2026,Cagliari,Genoa,3
19/09/2026,Como,Frosinone,3
19/09/2026,Fiorentina,Parma,3
19/09/2026,Lecce,Torino,3
19/09/2026,Milan,Udinese,3
19/09/2026,Monza,Sassuolo,3
19/09/2026,Roma,Lazio,3
19/09/2026,Venezia,Napoli,3
26/09/2026,Como,Cagliari,4
26/09/2026,Frosinone,Bologna,4
26/09/2026,Genoa,Atalanta,4
26/09/2026,Inter,Roma,4
26/09/2026,Juventus,Fiorentina,4
26/09/2026,Lazio,Monza,4
26/09/2026,Napoli,Udinese,4
26/09/2026,Parma,Venezia,4
26/09/2026,Sassuolo,Lecce,4
26/09/2026,Torino,Milan,4
03/10/2026,Atalanta,Como,5
03/10/2026,Bologna,Cagliari,5
03/10/2026,Fiorentina,Genoa,5
03/10/2026,Lecce,Lazio,5
03/10/2026,Milan,Napoli,5
03/10/2026,Monza,Inter,5
03/10/2026,Roma,Frosinone,5
03/10/2026,Torino,Sassuolo,5
03/10/2026,Udinese,Parma,5
03/10/2026,Venezia,Juventus,5
10/10/2026,Bologna,Atalanta,6
10/10/2026,Cagliari,Roma,6
10/10/2026,Como,Fiorentina,6
10/10/2026,Frosinone,Monza,6
10/10/2026,Genoa,Venezia,6
10/10/2026,Inter,Lecce,6
10/10/2026,Juventus,Udinese,6
10/10/2026,Lazio,Torino,6
10/10/2026,Parma,Napoli,6
10/10/2026,Sassuolo,Milan,6
17/10/2026,Fiorentina,Bologna,7
17/10/2026,Lecce,Frosinone,7
17/10/2026,Milan,Parma,7
17/10/2026,Monza,Cagliari,7
17/10/2026,Napoli,Juventus,7
17/10/2026,Roma,Atalanta,7
17/10/2026,Sassuolo,Lazio,7
17/10/2026,Torino,Inter,7
17/10/2026,Udinese,Genoa,7
17/10/2026,Venezia,Como,7
24/10/2026,Atalanta,Monza,8
24/10/2026,Bologna,Venezia,8
24/10/2026,Cagliari,Lecce,8
24/10/2026,Como,Udinese,8
24/10/2026,Frosinone,Torino,8
24/10/2026,Genoa,Napoli,8
24/10/2026,Inter,Sassuolo,8
24/10/2026,Juventus,Parma,8
24/10/2026,Lazio,Milan,8
24/10/2026,Roma,Fiorentina,8
31/10/2026,Lazio,Inter,9
31/10/2026,Lecce,Atalanta,9
31/10/2026,Milan,Juventus,9
31/10/2026,Monza,Fiorentina,9
31/10/2026,Napoli,Como,9
31/10/2026,Parma,Genoa,9
31/10/2026,Sassuolo,Frosinone,9
31/10/2026,Torino,Cagliari,9
31/10/2026,Udinese,Bologna,9
31/10/2026,Venezia,Roma,9
07/11/2026,Atalanta,Torino,10
07/11/2026,Bologna,Napoli,10
07/11/2026,Cagliari,Sassuolo,10
07/11/2026,Como,Parma,10
07/11/2026,Fiorentina,Lecce,10
07/11/2026,Frosinone,Lazio,10
07/11/2026,Genoa,Juventus,10
07/11/2026,Inter,Milan,10
07/11/2026,Monza,Venezia,10
07/11/2026,Roma,Udinese,10
14/11/2026,Inter,Frosinone,11
14/11/2026,Juventus,Como,11
14/11/2026,Lazio,Cagliari,11
14/11/2026,Lecce,Venezia,11
14/11/2026,Milan,Genoa,11
14/11/2026,Napoli,Roma,11
14/11/2026,Parma,Bologna,11
14/11/2026,Sassuolo,Atalanta,11
14/11/2026,Torino,Fiorentina,11
14/11/2026,Udinese,Monza,11
21/11/2026,Atalanta,Lazio,12
21/11/2026,Bologna,Juventus,12
21/11/2026,Cagliari,Inter,12
21/11/2026,Como,Genoa,12
21/11/2026,Fiorentina,Sassuolo,12
21/11/2026,Frosinone,Milan,12
21/11/2026,Lecce,Udinese,12
21/11/2026,Monza,Napoli,12
21/11/2026,Roma,Parma,12
21/11/2026,Venezia,Torino,12
28/11/2026,Frosinone,Cagliari,13
28/11/2026,Genoa,Bologna,13
28/11/2026,Inter,Atalanta,13
28/11/2026,Juventus,Roma,13
28/11/2026,Lazio,Fiorentina,13
28/11/2026,Milan,Como,13
28/11/2026,Napoli,Lecce,13
28/11/2026,Parma,Monza,13
28/11/2026,Sassuolo,Venezia,13
28/11/2026,Torino,Udinese,13
05/12/2026,Atalanta,Frosinone,14
05/12/2026,Bologna,Como,14
05/12/2026,Cagliari,Milan,14
05/12/2026,Fiorentina,Inter,14
05/12/2026,Lecce,Parma,14
05/12/2026,Monza,Juventus,14
05/12/2026,Roma,Genoa,14
05/12/2026,Torino,Napoli,14
05/12/2026,Udinese,Sassuolo,14
05/12/2026,Venezia,Lazio,14
12/12/2026,Cagliari,Atalanta,15
