date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2024-08-16,Man United,Fulham,1,0,2.04268,0.418711,H
2024-08-17,Ipswich,Liverpool,0,2,0.342601,3.92906,A
2024-08-17,Arsenal,Wolves,2,0,1.6283,0.575835,H
2024-08-17,Everton,Brighton,0,3,0.405325,1.79083,A
2024-08-17,Newcastle,Southampton,1,0,0.433489,1.95483,H
2024-08-17,Nott'm Forest,Bournemouth,1,1,1.24405,1.90915,D
2024-08-17,West Ham,Aston Villa,1,2,2.8047,2.6703,A
2024-08-18,Brentford,Crystal Palace,2,1,1.38064,1.14757,H
2024-08-18,Chelsea,Man City,0,2,1.06123,1.18038,A
2024-08-19,Leicester,Tottenham,1,1,1.02614,1.40775,D
2024-08-24,Brighton,Man United,2,1,2.14153,1.28556,H
2024-08-24,Crystal Palace,West Ham,0,2,1.3761,1.53421,A
2024-08-24,Fulham,Leicester,2,1,1.96218,0.857005,H
2024-08-24,Man City,Ipswich,4,1,3.07818,0.479999,H
2024-08-24,Southampton,Nott'm Forest,0,1,0.214952,2.86475,A
2024-08-24,Tottenham,Everton,4,0,2.61143,0.648869,H
2024-08-24,Aston Villa,Arsenal,0,2,1.31664,1.41399,A
2024-08-25,Wolves,Chelsea,2,6,2.4181,2.02935,A
2024-08-25,Bournemouth,Newcastle,1,1,2.53513,1.89287,D
2024-08-25,Liverpool,Brentford,2,0,2.71877,0.457239,H
2024-08-31,Arsenal,Brighton,1,1,2.41798,1.81748,D
2024-08-31,Brentford,Southampton,3,1,3.86281,1.64713,H
2024-08-31,Everton,Bournemouth,2,3,2.55629,2.95688,A
2024-08-31,Ipswich,Fulham,1,1,0.707048,1.18883,D
2024-08-31,Leicester,Aston Villa,1,2,0.774741,2.16385,A
2024-08-31,Nott'm Forest,Wolves,1,1,1.41069,0.937632,D
2024-08-31,West Ham,Man City,1,3,0.947201,3.19297,A
2024-09-01,Newcastle,Tottenham,2,1,1.58694,1.63304,H
2024-09-01,Chelsea,Crystal Palace,1,1,2.97743,0.459708,D
2024-09-01,Man United,Liverpool,0,3,1.50087,2.10397,A
2024-09-14,Southampton,Man United,0,3,1.35593,3.02693,A
2024-09-14,Brighton,Ipswich,0,0,1.75696,0.721323,D
2024-09-14,Fulham,West Ham,1,1,2.88601,0.682719,D
2024-09-14,Liverpool,Nott'm Forest,0,1,1.17044,0.589532,A
2024-09-14,Crystal Palace,Leicester,2,2,2.88716,1.65187,D
2024-09-14,Man City,Brentford,2,1,1.55279,1.05094,H
2024-09-14,Aston Villa,Everton,3,2,3.15876,0.852158,H
2024-09-14,Bournemouth,Chelsea,0,1,1.53731,0.932726,A
2024-09-15,Tottenham,Arsenal,0,1,0.792595,1.1209,A
2024-09-15,Wolves,Newcastle,1,2,1.46969,1.48343,A
2024-09-21,West Ham,Chelsea,0,3,0.758267,2.39727,A
2024-09-21,Southampton,Ipswich,1,1,2.89813,1.645,D
2024-09-21,Leicester,Everton,1,1,1.33793,1.82377,D
2024-09-21,Liverpool,Bournemouth,3,0,2.43731,1.46979,H
2024-09-21,Fulham,Newcastle,3,1,3.21141,1.09768,H
2024-09-21,Aston Villa,Wolves,3,1,2.37351,0.520117,H
2024-09-21,Tottenham,Brentford,3,1,3.89481,0.893565,H
2024-09-21,Crystal Palace,Man United,0,0,1.66928,2.35056,D
2024-09-22,Brighton,Nott'm Forest,2,2,1.56836,1.36923,D
2024-09-22,Man City,Arsenal,2,2,2.75588,1.28411,D
2024-09-28,Newcastle,Man City,1,1,1.34344,1.26516,D
2024-09-28,Nott'm Forest,Fulham,0,1,0.614351,1.43592,A
2024-09-28,Everton,Crystal Palace,2,1,1.10959,1.12358,H
2024-09-28,Arsenal,Leicester,4,2,6.05305,0.337909,H
2024-09-28,Brentford,West Ham,1,1,0.370222,0.878617,D
2024-09-28,Chelsea,Brighton,4,2,3.65839,1.20712,H
2024-09-28,Wolves,Liverpool,1,2,0.748925,2.11724,A
2024-09-29,Ipswich,Aston Villa,2,2,1.84608,1.14494,D
2024-09-29,Man United,Tottenham,0,3,0.600721,5.4072,A
2024-09-30,Bournemouth,Southampton,3,1,1.44215,0.696068,H
2024-10-05,Crystal Palace,Liverpool,0,1,0.609481,2.07332,A
2024-10-05,Leicester,Bournemouth,1,0,0.912063,1.94963,H
2024-10-05,Man City,Fulham,3,2,1.36684,2.75846,H
2024-10-05,West Ham,Ipswich,4,1,4.39402,1.18463,H
2024-10-05,Arsenal,Southampton,3,1,3.25165,1.27313,H
2024-10-05,Brentford,Wolves,5,3,4.13513,0.696254,H
2024-10-05,Everton,Newcastle,0,0,0.692214,1.79048,D
2024-10-06,Chelsea,Nott'm Forest,1,1,2.27752,1.66654,D
2024-10-06,Aston Villa,Man United,0,0,0.532809,0.448537,D
2024-10-06,Brighton,Tottenham,3,2,1.97217,1.09279,H
2024-10-19,Tottenham,West Ham,4,1,1.44052,0.858803,H
2024-10-19,Fulham,Aston Villa,1,3,2.63074,1.43595,A
2024-10-19,Ipswich,Everton,0,2,1.174,1.60804,A
2024-10-19,Man United,Brentford,2,1,1.76555,0.892843,H
2024-10-19,Newcastle,Brighton,0,1,1.93657,1.6779,A
2024-10-19,Southampton,Leicester,2,3,2.42776,2.83826,A
2024-10-19,Bournemouth,Arsenal,2,0,2.18419,0.740758,H
2024-10-20,Wolves,Man City,1,2,0.761217,1.36569,A
2024-10-20,Liverpool,Chelsea,2,1,2.22517,1.33904,H
2024-10-21,Nott'm Forest,Crystal Palace,1,0,1.88573,0.835001,H
2024-10-25,Leicester,Nott'm Forest,1,3,0.832415,2.54488,A
2024-10-26,Man City,Southampton,1,0,3.16286,0.369989,H
2024-10-26,Aston Villa,Bournemouth,1,1,1.974,0.328651,D
2024-10-26,Brentford,Ipswich,4,3,4.09663,1.65698,H
2024-10-26,Brighton,Wolves,2,2,1.51347,1.11074,D
2024-10-26,Everton,Fulham,1,1,0.884845,1.49531,D
2024-10-27,Chelsea,Newcastle,2,1,1.61794,1.74225,H
2024-10-27,Crystal Palace,Tottenham,1,0,0.978611,1.0192,H
2024-10-27,West Ham,Man United,2,1,2.99312,2.62598,H
2024-10-27,Arsenal,Liverpool,2,2,1.0883,1.35346,D
2024-11-02,Newcastle,Arsenal,1,0,0.859715,0.911305,H
2024-11-02,Bournemouth,Man City,2,1,2.4493,2.3527,H
2024-11-02,Ipswich,Leicester,1,1,1.33617,2.33858,D
2024-11-02,Liverpool,Brighton,2,1,1.81037,1.01568,H
2024-11-02,Nott'm Forest,West Ham,3,0,2.35011,0.132317,H
2024-11-02,Southampton,Everton,1,0,0.540345,1.78581,H
2024-11-02,Wolves,Crystal Palace,2,2,1.65018,2.64849,D
2024-11-03,Tottenham,Aston Villa,4,1,2.09751,2.48749,H
2024-11-03,Man United,Chelsea,1,1,2.1605,1.21071,D
2024-11-04,Fulham,Brentford,2,1,1.43017,0.739231,H
2024-11-09,Brentford,Bournemouth,3,2,1.56474,2.49234,H
2024-11-09,Crystal Palace,Fulham,0,2,1.96037,2.25331,A
2024-11-09,West Ham,Everton,0,0,1.1237,0.865983,D
2024-11-09,Wolves,Southampton,2,0,0.912781,0.792655,H
2024-11-09,Brighton,Man City,2,1,2.87116,2.60334,H
2024-11-09,Liverpool,Aston Villa,2,0,2.68196,1.66337,H
2024-11-10,Nott'm Forest,Newcastle,1,3,1.17852,1.86904,A
2024-11-10,Man United,Leicester,3,0,1.2369,0.417295,H
