date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2025-08-15,Girona,Vallecano,1,3,0.795304,3.25355,A
2025-08-15,Villarreal,Oviedo,2,0,2.60739,0.85578,H
2025-08-16,Mallorca,Barcelona,0,3,0.529217,2.0243,A
2025-08-16,Alaves,Levante,2,1,1.72315,0.74203,H
2025-08-16,Valencia,Sociedad,1,1,1.58599,1.04897,D
2025-08-17,Celta,Getafe,0,2,0.744247,1.50131,A
2025-08-17,Ath Bilbao,Sevilla,3,2,2.67586,0.901645,H
2025-08-17,Espanol,Ath Madrid,2,1,1.41508,1.29319,H
2025-08-18,Elche,Betis,1,1,0.981494,1.59562,D
2025-08-19,Real Madrid,Osasuna,1,0,1.4294,0.201044,H
2025-08-22,Betis,Alaves,1,0,2.13985,1.43838,H
2025-08-23,Mallorca,Celta,1,1,0.664974,0.917413,D
2025-08-23,Ath Madrid,Elche,1,1,1.68159,0.313268,D
2025-08-23,Levante,Barcelona,2,3,2.68812,2.48128,A
2025-08-24,Osasuna,Valencia,1,0,0.946758,0.589594,H
2025-08-24,Villarreal,Girona,5,0,2.97707,0.140267,H
2025-08-24,Sociedad,Espanol,2,2,1.43366,1.87234,D
2025-08-24,Oviedo,Real Madrid,0,3,0.33749,1.82072,A
2025-08-25,Ath Bilbao,Vallecano,1,0,1.68759,0.493587,H
2025-08-25,Sevilla,Getafe,1,2,0.833075,1.32944,A
2025-08-27,Celta,Betis,1,1,0.905201,0.714458,D
2025-08-29,Elche,Levante,2,0,1.44309,0.969663,H
2025-08-29,Valencia,Getafe,3,0,1.54336,0.757418,H
2025-08-30,Alaves,Ath Madrid,1,1,0.855094,0.960547,D
2025-08-30,Oviedo,Sociedad,1,0,0.45706,0.92221,H
2025-08-30,Girona,Sevilla,0,2,2.00908,1.62032,A
2025-08-30,Real Madrid,Mallorca,2,1,1.84116,0.549872,H
2025-08-31,Celta,Villarreal,1,1,0.876041,0.96978,D
2025-08-31,Betis,Ath Bilbao,1,2,0.716186,1.11141,A
2025-08-31,Espanol,Osasuna,1,0,1.36886,1.38167,H
2025-08-31,Vallecano,Barcelona,1,1,1.87124,2.35774,D
2025-09-12,Sevilla,Elche,2,2,0.346397,0.781151,D
2025-09-13,Getafe,Oviedo,2,0,0.954087,0.369812,H
2025-09-13,Sociedad,Real Madrid,1,2,3.14772,2.54171,A
2025-09-13,Ath Bilbao,Alaves,0,1,0.866662,0.090756,A
2025-09-13,Ath Madrid,Villarreal,2,0,1.5106,0.668177,H
2025-09-14,Celta,Girona,1,1,1.80278,1.41213,D
2025-09-14,Levante,Betis,2,2,1.02425,2.19546,D
2025-09-14,Osasuna,Vallecano,2,0,1.4012,0.979149,H
2025-09-14,Barcelona,Valencia,6,0,3.46022,0.12495,H
2025-09-15,Espanol,Mallorca,3,2,2.67405,2.03185,H
2025-09-19,Betis,Sociedad,3,1,2.53579,0.606673,H
2025-09-20,Girona,Levante,0,4,0.423855,4.50183,A
2025-09-20,Real Madrid,Espanol,2,0,2.06136,0.969443,H
2025-09-20,Villarreal,Osasuna,2,1,3.56395,1.95599,H
2025-09-20,Alaves,Sevilla,1,2,0.910257,0.891992,A
2025-09-20,Valencia,Ath Bilbao,2,0,2.01007,0.499198,H
2025-09-21,Vallecano,Celta,1,1,1.3145,1.28175,D
2025-09-21,Mallorca,Ath Madrid,1,1,0.530939,2.08772,D
2025-09-21,Elche,Oviedo,1,0,1.57497,1.10565,H
2025-09-21,Barcelona,Getafe,3,0,2.96429,0.215949,H
2025-09-23,Espanol,Valencia,2,2,3.31313,1.00785,D
2025-09-23,Ath Bilbao,Girona,1,1,2.02629,0.856618,D
2025-09-23,Levante,Real Madrid,1,4,1.70121,4.06315,A
2025-09-23,Sevilla,Villarreal,1,2,0.83617,2.40523,A
2025-09-24,Getafe,Alaves,1,1,0.576203,1.21176,D
2025-09-24,Sociedad,Mallorca,1,0,2.82857,0.641137,H
2025-09-24,Ath Madrid,Vallecano,3,2,4.95017,1.61988,H
2025-09-25,Osasuna,Elche,1,1,1.17524,1.05089,D
2025-09-25,Oviedo,Barcelona,1,3,1.45014,2.07001,A
2025-09-26,Girona,Espanol,0,0,1.07661,0.949116,D
2025-09-27,Getafe,Levante,1,1,0.830967,1.27833,D
2025-09-27,Ath Madrid,Real Madrid,5,2,2.79075,1.02797,H
2025-09-27,Mallorca,Alaves,1,0,1.04267,0.566415,H
2025-09-27,Villarreal,Ath Bilbao,1,0,1.86396,1.56287,H
2025-09-28,Vallecano,Sevilla,0,1,1.89093,0.579597,A
2025-09-28,Elche,Celta,2,1,4.03596,0.821768,H
2025-09-28,Barcelona,Sociedad,2,1,3.00954,0.957079,H
2025-09-28,Betis,Osasuna,2,0,1.18955,0.578485,H
2025-09-29,Valencia,Oviedo,1,2,1.72261,0.997143,A
2025-10-03,Osasuna,Getafe,2,1,0.692026,0.856515,H
2025-10-04,Oviedo,Levante,0,2,1.08551,1.62121,A
2025-10-04,Girona,Valencia,2,1,1.16415,2.22808,H
2025-10-04,Ath Bilbao,Mallorca,2,1,1.73351,0.213773,H
2025-10-04,Real Madrid,Villarreal,3,1,4.32336,0.956644,H
2025-10-05,Alaves,Elche,3,1,2.85063,0.661537,H
2025-10-05,Sevilla,Barcelona,4,1,2.89414,2.4823,H
2025-10-05,Espanol,Betis,1,2,2.0699,1.43721,A
2025-10-05,Sociedad,Vallecano,0,1,0.768998,0.684504,A
2025-10-05,Celta,Ath Madrid,1,1,2.27285,0.710823,D
2025-10-17,Oviedo,Espanol,0,2,1.21155,4.46256,A
2025-10-18,Sevilla,Mallorca,1,3,1.25884,1.95555,A
2025-10-18,Barcelona,Girona,2,1,2.41958,1.69375,H
2025-10-18,Villarreal,Betis,2,2,0.980598,0.895532,D
2025-10-18,Ath Madrid,Osasuna,1,0,2.24415,0.981492,H
2025-10-19,Elche,Ath Bilbao,0,0,0.823916,0.240214,D
2025-10-19,Celta,Sociedad,1,1,0.717367,2.13562,D
2025-10-19,Levante,Vallecano,0,3,0.940509,2.53118,A
2025-10-19,Getafe,Real Madrid,0,1,0.530119,2.14595,A
2025-10-20,Alaves,Valencia,0,0,1.05624,0.318076,D
2025-10-24,Sociedad,Sevilla,2,1,1.64382,0.247146,H
2025-10-25,Girona,Oviedo,3,3,2.24132,2.22406,D
