date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2021-08-21,Verona,Sassuolo,2,3,2.25155,1.86679,A
2021-08-21,Inter,Genoa,4,0,2.20707,0.967177,H
2021-08-21,Torino,Atalanta,1,2,0.864837,1.01343,A
2021-08-21,Empoli,Lazio,1,3,1.13436,1.78152,A
2021-08-22,Bologna,Salernitana,3,2,1.72577,1.63711,H
2021-08-22,Udinese,Juventus,2,2,2.08573,1.49379,D
2021-08-22,Napoli,Venezia,2,0,2.39159,0.60988,H
2021-08-22,Roma,Fiorentina,3,1,2.75414,0.867167,H
2021-08-23,Cagliari,Spezia,2,2,3.28935,1.03088,D
2021-08-23,Sampdoria,Milan,0,1,1.24757,0.804449,A
2021-08-27,Udinese,Venezia,3,0,3.01783,0.908926,H
2021-08-27,Verona,Inter,1,3,0.603998,1.8369,A
2021-08-28,Lazio,Spezia,6,1,2.71713,0.735352,H
2021-08-28,Atalanta,Bologna,0,0,0.989249,0.41987,D
2021-08-28,Fiorentina,Torino,2,1,0.53999,0.293784,H
2021-08-28,Juventus,Empoli,0,1,1.81566,1.10327,A
2021-08-29,Sassuolo,Sampdoria,0,0,1.22815,0.577075,D
2021-08-29,Genoa,Napoli,1,2,0.339332,1.15407,A
2021-08-29,Milan,Cagliari,4,1,2.67169,0.406709,H
2021-08-29,Salernitana,Roma,0,4,0.221399,1.88679,A
2021-09-11,Empoli,Venezia,1,2,1.88537,2.43118,A
2021-09-11,Napoli,Juventus,2,1,2.18708,1.56057,H
2021-09-11,Atalanta,Fiorentina,1,2,2.11526,1.81465,A
2021-09-12,Sampdoria,Inter,2,2,1.46613,0.965476,D
2021-09-12,Cagliari,Genoa,2,3,1.83111,1.25494,A
2021-09-12,Spezia,Udinese,0,1,0.788419,0.78059,A
2021-09-12,Torino,Salernitana,4,0,2.9969,0.252452,H
2021-09-12,Milan,Lazio,2,0,3.47807,0.24655,H
2021-09-12,Roma,Sassuolo,2,1,2.32713,2.09991,H
2021-09-13,Bologna,Verona,1,0,1.25512,0.315142,H
2021-09-17,Sassuolo,Torino,0,1,0.79628,2.48473,A
2021-09-18,Genoa,Fiorentina,1,2,1.28373,1.12359,A
2021-09-18,Inter,Bologna,6,1,4.28011,0.855616,H
2021-09-18,Salernitana,Atalanta,0,1,0.792486,1.38299,A
2021-09-19,Empoli,Sampdoria,0,3,0.927264,1.34865,A
2021-09-19,Venezia,Spezia,1,2,0.805717,0.478482,A
2021-09-19,Verona,Roma,3,2,1.02132,0.661729,H
2021-09-19,Lazio,Cagliari,2,2,1.72557,1.91594,D
2021-09-19,Juventus,Milan,1,1,1.31518,1.04896,D
2021-09-20,Udinese,Napoli,0,4,0.243458,3.30273,A
2021-09-21,Bologna,Genoa,2,2,2.2881,1.69881,D
2021-09-21,Atalanta,Sassuolo,2,1,2.10813,0.911464,H
2021-09-21,Fiorentina,Inter,1,3,1.733,2.73737,A
2021-09-22,Salernitana,Verona,2,2,2.68942,2.06188,D
2021-09-22,Spezia,Juventus,2,3,1.03395,2.54565,A
2021-09-22,Cagliari,Empoli,0,2,0.754694,1.14537,A
2021-09-22,Milan,Venezia,2,0,2.11409,0.581225,H
2021-09-23,Sampdoria,Napoli,0,4,0.56857,2.10601,A
2021-09-23,Torino,Lazio,1,1,1.27244,0.846161,D
2021-09-23,Roma,Udinese,1,0,1.383,0.809534,H
2021-09-25,Spezia,Milan,1,2,0.953769,1.74102,A
2021-09-25,Inter,Atalanta,2,2,3.52091,1.50237,D
2021-09-25,Genoa,Verona,3,3,1.43713,2.07264,D
2021-09-26,Juventus,Sampdoria,3,2,2.62795,0.600946,H
2021-09-26,Empoli,Bologna,4,2,1.47687,2.49784,H
2021-09-26,Sassuolo,Salernitana,1,0,1.60845,1.16385,H
2021-09-26,Udinese,Fiorentina,0,1,0.492029,1.13861,A
2021-09-26,Lazio,Roma,3,2,2.48417,1.84369,H
2021-09-26,Napoli,Cagliari,2,0,2.05833,0.153322,H
2021-09-27,Venezia,Torino,1,1,1.5265,0.8526,D
2021-10-01,Cagliari,Venezia,1,1,0.658426,0.486148,D
2021-10-02,Salernitana,Genoa,1,0,0.547267,1.58603,H
2021-10-02,Torino,Juventus,0,1,0.908329,1.89552,A
2021-10-02,Sassuolo,Inter,1,2,1.61921,2.04169,A
2021-10-03,Bologna,Lazio,3,0,0.778479,0.96271,H
2021-10-03,Verona,Spezia,4,0,0.690616,1.57689,H
2021-10-03,Sampdoria,Udinese,3,3,1.52931,3.28192,D
2021-10-03,Fiorentina,Napoli,1,2,0.383136,1.64223,A
2021-10-03,Roma,Empoli,2,0,1.8551,0.43764,H
2021-10-03,Atalanta,Milan,2,3,2.63096,2.50955,A
2021-10-16,Spezia,Salernitana,2,1,1.67718,1.60938,H
2021-10-16,Lazio,Inter,3,1,2.31397,1.44791,H
2021-10-16,Milan,Verona,3,2,1.51852,1.58319,H
2021-10-17,Cagliari,Sampdoria,3,1,1.50713,1.78619,H
2021-10-17,Empoli,Atalanta,1,4,0.575048,3.83506,A
2021-10-17,Genoa,Sassuolo,2,2,1.38414,2.8217,D
2021-10-17,Udinese,Bologna,1,1,1.35716,1.49614,D
2021-10-17,Napoli,Torino,1,0,1.32917,1.07482,H
2021-10-17,Juventus,Roma,1,0,1.46974,1.4565,H
2021-10-18,Venezia,Fiorentina,1,0,0.794394,0.42719,H
2021-10-22,Torino,Genoa,3,2,2.2411,2.35473,H
2021-10-22,Sampdoria,Spezia,2,1,0.974056,1.05608,H
2021-10-23,Salernitana,Empoli,2,4,1.37213,2.83049,A
2021-10-23,Sassuolo,Venezia,3,1,2.13069,0.506648,H
2021-10-23,Bologna,Milan,2,4,0.631007,0.90866,A
2021-10-24,Atalanta,Udinese,1,1,0.629032,0.667553,D
2021-10-24,Fiorentina,Cagliari,3,0,3.1216,0.119909,H
2021-10-24,Verona,Lazio,4,1,3.536,1.42458,H
2021-10-24,Roma,Napoli,0,0,1.6324,0.593957,D
2021-10-24,Inter,Juventus,1,1,0.961912,1.34492,D
2021-10-26,Spezia,Genoa,1,1,2.40615,1.0654,D
2021-10-26,Venezia,Salernitana,1,2,0.62413,1.52483,A
2021-10-26,Milan,Torino,1,0,1.12486,0.488007,H
2021-10-27,Juventus,Sassuolo,1,2,1.15204,1.12654,A
2021-10-27,Sampdoria,Atalanta,1,3,0.984824,1.98512,A
2021-10-27,Udinese,Verona,1,1,0.940667,0.843224,D
2021-10-27,Cagliari,Roma,1,2,1.31963,2.49703,A
2021-10-27,Empoli,Inter,0,2,0.542985,3.07924,A
2021-10-27,Lazio,Fiorentina,1,0,0.637443,0.517761,H
2021-10-28,Napoli,Bologna,3,0,2.67727,0.251648,H
2021-10-30,Atalanta,Lazio,2,2,0.723746,1.4355,D
2021-10-30,Verona,Juventus,2,1,1.57716,1.78968,H
2021-10-30,Torino,Sampdoria,3,0,2.61562,0.249004,H
2021-10-31,Inter,Udinese,2,0,2.0569,0.303819,H
2021-10-31,Fiorentina,Spezia,3,0,2.8175,0.0882599,H
2021-10-31,Genoa,Venezia,0,0,0.720997,0.488128,D
2021-10-31,Sassuolo,Empoli,1,2,1.24312,1.4834,A
2021-10-31,Salernitana,Napoli,0,1,0.405769,1.54055,A
2021-10-31,Roma,Milan,1,2,1.25894,1.86101,A
2021-11-01,Bologna,Cagliari,2,0,1.7361,0.403517,H
2021-11-05,Empoli,Genoa,2,2,0.745284,1.69731,D
2021-11-06,Spezia,Torino,1,0,0.333765,0.420439,H
2021-11-06,Juventus,Fiorentina,1,0,0.984607,0.320219,H
2021-11-06,Cagliari,Atalanta,1,2,0.510728,3.54195,A
2021-11-07,Venezia,Roma,3,2,3.22538,2.76533,H
2021-11-07,Sampdoria,Bologna,1,2,1.05575,1.86418,A
2021-11-07,Udinese,Sassuolo,3,2,1.59111,0.694033,H
2021-11-07,Lazio,Salernitana,3,0,1.67971,0.239577,H
2021-11-07,Napoli,Verona,1,1,0.800943,1.22561,D
2021-11-07,Milan,Inter,1,1,1.15715,2.34764,D
2021-11-20,Atalanta,Spezia,5,2,2.5762,0.928225,H
2021-11-20,Lazio,Juventus,0,2,0.254933,2.76719,A
2021-11-20,Fiorentina,Milan,4,3,1.50869,1.57419,H
2021-11-21,Sassuolo,Cagliari,2,2,3.47952,1.23102,D
2021-11-21,Bologna,Venezia,0,1,0.995082,1.01889,A
2021-11-21,Salernitana,Sampdoria,0,2,0.982098,1.52856,A
2021-11-21,Inter,Napoli,3,2,2.19596,0.941603,H
2021-11-21,Genoa,Roma,0,2,0.102684,2.34272,A
2021-11-22,Verona,Empoli,2,1,1.30231,1.56263,H
2021-11-22,Torino,Udinese,2,1,1.93566,1.00294,H
2021-11-26,Cagliari,Salernitana,1,1,1.71881,0.238047,D
2021-11-27,Empoli,Fiorentina,2,1,2.14107,2.39546,H
2021-11-27,Sampdoria,Verona,3,1,0.75047,0.697659,H
2021-11-27,Juventus,Atalanta,0,1,0.818174,0.573467,A
2021-11-27,Venezia,Inter,0,2,0.192519,2.60343,A
2021-11-28,Udinese,Genoa,0,0,0.782758,0.602047,D
2021-11-28,Milan,Sassuolo,1,3,0.880541,1.18489,A
2021-11-28,Spezia,Bologna,0,1,0.638423,2.54608,A
2021-11-28,Roma,Torino,1,0,0.962178,0.798443,H
2021-11-28,Napoli,Lazio,4,0,1.19531,0.272761,H
2021-11-30,Atalanta,Venezia,4,0,2.90312,0.520194,H
2021-11-30,Fiorentina,Sampdoria,3,1,2.87335,0.634027,H
2021-11-30,Verona,Cagliari,0,0,1.16014,0.575054,D
2021-11-30,Salernitana,Juventus,0,2,0.461655,2.54436,A
2021-12-01,Bologna,Roma,1,0,0.220551,0.90512,H
2021-12-01,Inter,Spezia,2,0,2.85144,0.25153,H
2021-12-01,Genoa,Milan,0,3,0.357508,1.10251,A
2021-12-01,Sassuolo,Napoli,2,2,0.306603,0.922552,D
2021-12-02,Torino,Empoli,2,2,1.37796,0.972492,D
2021-12-02,Lazio,Udinese,4,4,1.45921,2.04224,D
2021-12-04,Milan,Salernitana,2,0,2.58223,0.194258,H
2021-12-04,Roma,Inter,0,3,0.530518,1.67407,A
2021-12-04,Napoli,Atalanta,2,3,1.11737,1.52971,A
2021-12-05,Bologna,Fiorentina,2,3,0.587444,1.21379,A
2021-12-05,Spezia,Sassuolo,2,2,2.36057,1.4473,D
